words,freq
quite a,5002
dont want,4996
idea of,4988
supposed to,4946
but this,4945
where i,4919
we had,4915
how i,4908
and your,4896
who was,4895
comes to,4885
after all,4877
the old,4875
who have,4875
and there,4860
wants to,4858
for example,4843
my life,4829
first time,4818
the man,4812
the big,4809
about what,4807
on that,4805
is it,4756
that there,4754
can do,4745
this and,4739
here is,4729
make it,4705
and even,4702
if we,4697
according to,4691
for an,4691
i couldnt,4688
try to,4672
seemed to,4671
and all,4669
the point,4664
each other,4654
how to,4652
you see,4652
make sure,4641
be able,4636
to live,4628
are all,4626
a wonderful,4625
we do,4618
with them,4618
the night,4613
was so,4612
for it,4605
during the,4601
united states,4601
lack of,4600
you cant,4600
i saw,4589
was on,4576
got to,4567
at home,4565
and what,4560
think that,4553
come to,4552
the reason,4551
and make,4539
but he,4533
think of,4524
amount of,4514
same time,4510
years ago,4509
me that,4507
to visit,4490
across the,4488
the church,4487
to understand,4484
made me,4479
im a,4477
to come,4477
to her,4477
wanted to,4466
if it,4448
are you,4446
a place,4442
but they,4440
can get,4422
make the,4416
the story,4416
to read,4414
look like,4412
front of,4396
in front,4393
i get,4390
not have,4381
here are,4370
was going,4366
the back,4365
on its,4360
are in,4352
going on,4347
for about,4346
me i,4341
how the,4339
the very,4338
take the,4337
after a,4336
i wouldnt,4335
still in,4335
a single,4332
thought that,4331
seems to,4323
with no,4318
but you,4315
that all,4315
just the,4312
believe that,4311
am i,4309
also a,4305
you for,4302
got the,4300
was just,4296
you dont,4296
not be,4292
to what,4272
up in,4259
but my,4254
and get,4252
plenty of,4245
the little,4241
she said,4232
i say,4229
much to,4219
with me,4218
the door,4212
up on,4206
and had,4203
looked at,4197
to watch,4189
and our,4187
we did,4180
that doesnt,4179
last week,4173
see what,4162
to mention,4162
a while,4157
the year,4152
in one,4147
the words,4146
would not,4142
it so,4141
order to,4141
here on,4138
as an,4136
not sure,4135
bit of,4129
because they,4127
and her,4118
to try,4116
i took,4112
out what,4109
but there,4106
hope you,4105
since i,4101
so that,4093
who has,4091
it seems,4080
like this,4073
it makes,4070
he said,4069
to that,4058
to all,4054
me a,4049
them in,4045
or even,4040
have not,4027
him in,4020
let me,4015
a full,4006
he would,4006
other people,4005
are some,4000
can you,3999
it also,3996
to your,3991
the current,3989
so far,3985
we dont,3985
those who,3971
ready for,3964
way of,3962
and their,3948
be on,3947
need a,3947
with it,3937
add the,3936
and if,3929
of what,3927
so we,3926
but if,3918
get my,3918
up at,3918
get the,3913
made a,3912
and over,3911
but not,3908
they do,3908
pretty much,3907
a way,3906
to you,3904
a short,3903
find the,3887
point of,3881
that his,3879
the front,3879
was no,3879
the entire,3874
tried to,3874
you just,3872
i used,3866
with this,3860
you could,3859
i told,3849
one day,3849
on her,3844
here and,3843
not that,3841
the film,3837
the left,3837
it all,3831
where we,3830
i put,3828
being the,3820
lots of,3817
for their,3816
were the,3816
of an,3815
be so,3813
i may,3802
the city,3801
know the,3800
this in,3796
with an,3795
out on,3792
did you,3791
see that,3791
reason for,3790
these are,3790
could get,3788
more and,3788
dont care,3787
along with,3784
and now,3783
you should,3783
a different,3778
theres a,3775
to show,3768
piece of,3766
against the,3765
not really,3765
the s,3765
find out,3764
at my,3754
a number,3753
so what,3750
just to,3749
type of,3747
out a,3746
i always,3745
last year,3745
not going,3740
so it,3739
do that,3738
from her,3738
for some,3737
feel like,3732
you would,3731
much of,3727
you all,3723
about my,3721
wait to,3718
all in,3712
it comes,3710
it off,3709
all but,3708
and with,3707
to create,3707
the great,3701
and thats,3698
where they,3698
him and,3697
or not,3690
got a,3686
in which,3685
was able,3683
thanks to,3673
for them,3668
though the,3655
all over,3643
and also,3637
if he,3634
what was,3634
on all,3630
at her,3628
time for,3625
to our,3614
its been,3611
back on,3609
the idea,3606
a person,3604
of god,3592
a book,3589
her to,3589
might be,3589
is why,3587
much as,3587
was at,3586
back in,3584
i wanted,3577
he says,3574
a quick,3573
opportunity to,3562
water and,3560
starting to,3558
now to,3551
the movie,3551
this post,3549
year i,3548
working on,3546
needs to,3545
i still,3538
and just,3530
what we,3527
about this,3526
but for,3526
but then,3524
every time,3523
the group,3518
i needed,3516
the original,3513
give it,3509
to pay,3508
see how,3501
was born,3500
to bring,3495
to put,3492
but im,3488
a young,3483
forward to,3483
found in,3479
or two,3479
do this,3478
lived in,3470
that im,3468
away from,3462
more about,3457
that just,3457
version of,3456
made it,3453
seem to,3453
that had,3451
up for,3448
to an,3446
these days,3445
so im,3443
and on,3442
very much,3440
and are,3435
is my,3434
my favorite,3434
makes me,3432
the ground,3432
thing is,3428
from a,3427
the garden,3424
took the,3412
is all,3411
a week,3410
the lord,3410
to sit,3408
as soon,3406
to check,3404
the rules,3403
made the,3402
her and,3394
work with,3394
it wasnt,3389
is so,3386
a certain,3385
time you,3381
at this,3379
long time,3376
family and,3374
the truth,3372
who will,3371
a large,3369
that as,3368
at some,3360
of its,3359
to love,3359
a mother,3357
i havent,3357
i said,3356
love it,3345
is one,3341
that were,3335
among the,3332
on his,3331
until the,3321
dont think,3318
in some,3313
the beginning,3309
for minutes,3304
i believe,3304
and one,3303
people to,3301
any of,3297
have you,3293
like it,3290
world is,3288
you got,3288
the car,3285
even the,3282
would make,3278
love the,3275
looking for,3271
few weeks,3265
of life,3265
good to,3261
the more,3260
pick up,3252
someone who,3252
that time,3252
the word,3252
but she,3250
did i,3250
that can,3250
have made,3249
because he,3248
looks like,3248
time he,3248
its hard,3247
the fall,3246
it may,3245
the middle,3244
all i,3243
a chance,3242
to it,3242
if youre,3233
the latter,3232
to eat,3232
that no,3227
down the,3223
was pretty,3222
on to,3221
in general,3218
listen to,3212
my dad,3212
house and,3209
is full,3202
on it,3200
what they,3200
been in,3198
create a,3195
is good,3194
a result,3191
remember that,3191
for those,3189
they had,3185
my head,3183
on and,3182
think it,3182
we could,3179
so now,3178
to them,3178
is just,3176
i remember,3173
very well,3172
to grow,3166
she has,3162
found out,3161
a child,3159
i wasnt,3157
things that,3154
is for,3150
at one,3145
them and,3143
how about,3142
out there,3140
thing that,3139
week and,3136
with your,3136
was to,3132
to win,3128
with their,3127
it doesnt,3122
and no,3120
since the,3119
to think,3119
although i,3116
not like,3116
was also,3115
she had,3110
things i,3110
and another,3107
an hour,3106
cup of,3106
life is,3098
with our,3097
however the,3093
towards the,3091
to change,3088
time the,3087
few days,3082
that in,3078
do it,3075
in another,3074
are still,3073
it on,3071
the local,3068
the above,3066
and is,3063
once again,3062
what to,3052
a massive,3049
to run,3049
may have,3042
start a,3040
as she,3038
i ended,3037
maybe i,3028
to talk,3026
which was,3026
to those,3022
is at,3018
for your,3017
is this,3017
day to,3015
how can,3014
to us,3012
write about,3012
would like,3010
this way,3008
to play,3001
had the,2999
be an,2997
it takes,2990
just like,2990
asked me,2986
its way,2986
sounds like,2986
we will,2985
name of,2983
was still,2978
well with,2978
through a,2975
his own,2967
the heart,2966
and can,2961
all sorts,2956
you were,2954
been through,2953
now we,2951
was very,2950
at me,2945
you the,2942
work for,2936
they dont,2934
thought of,2934
thought i,2931
from that,2922
managed to,2922
talk about,2922
the place,2922
to leave,2915
to move,2913
as of,2912
that will,2912
and yet,2911
thinking about,2911
it the,2910
or a,2910
into my,2907
dont get,2902
i might,2901
day i,2897
of and,2897
but what,2895
on their,2892
forced to,2888
what im,2880
few years,2879
since she,2876
though i,2876
he will,2874
soon as,2865
as long,2864
long as,2863
the doctor,2862
am going,2858
he could,2853
the job,2853
continue to,2852
only a,2852
you get,2843
a friend,2840
history of,2840
found a,2839
to bed,2835
think i,2831
talking about,2827
not just,2824
the ball,2824
love to,2821
the parking,2819
about how,2818
